Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	08:51pm	08:53pm	08:55pm	08:57pm	08:59pm	09:01pm	09:03pm	09:03pm	09:04pm	09:04pm	09:05pm	09:06pm	09:06pm	09:06pm	09:07pm	09:07pm
384	9.85084E-07	8.88503E-07	0	1.09986E-06	1.39509E-06	8.29715E-07	2.68138E-07	8.53391E-07	4.32042E-07	4.19751E-08	6.69617E-07	7.79332E-07	2.66865E-06	9.66582E-08	1.46924E-06	0
385	1.46344E-06	1.32424E-06	0	5.75902E-07	8.74313E-07	1.52802E-06	4.58534E-07	1.24973E-06	6.40673E-07	4.51096E-08	1.0064E-06	1.25102E-06	1.70681E-06	9.60722E-08	8.92074E-07	0
386	1.782E-06	1.6085E-06	0	1.62295E-07	4.35623E-07	2.17115E-06	6.78933E-07	1.48404E-06	7.87382E-07	3.46541E-08	1.25787E-06	1.60805E-06	7.68523E-07	6.5509E-08	3.40646E-07	0
387	1.805E-06	1.61157E-06	0	0	1.89877E-07	2.55836E-06	9.13188E-07	1.42806E-06	8.14995E-07	4.54774E-09	1.33822E-06	1.70209E-06	1.68307E-08	0	0	4.11507E-08
388	1.50544E-06	1.31095E-06	0	1.11447E-07	1.86035E-07	2.5998E-06	1.14923E-06	1.07306E-06	7.08605E-07	0	1.22803E-06	1.50287E-06	0	0	0	1.01244E-07
389	1.02266E-06	8.50073E-07	0	3.96718E-07	3.35179E-07	2.37697E-06	1.37557E-06	5.98958E-07	5.16657E-07	0	1.00779E-06	1.16719E-06	0	0	0	1.54711E-07
390	5.07724E-07	3.8392E-07	0	7.09833E-07	5.37657E-07	1.98575E-06	1.58123E-06	1.98189E-07	2.92243E-07	0	7.65138E-07	8.65033E-07	0	0	0	1.97411E-07
391	1.05471E-07	6.10648E-08	0	9.18889E-07	6.98006E-07	1.51823E-06	1.75581E-06	5.52072E-08	8.62621E-08	0	5.84128E-07	7.5944E-07	0	0	0	2.25396E-07
392	0	1.53267E-08	2.27687E-07	9.05046E-07	7.29098E-07	1.06036E-06	1.8886E-06	3.35519E-07	0	9.59484E-08	5.4197E-07	9.95838E-07	5.59496E-07	1.77026E-07	7.64913E-08	2.34878E-07
393	3.0234E-08	2.30987E-07	7.48432E-07	6.84645E-07	6.23005E-07	6.6155E-07	1.96132E-06	1.00723E-06	0	2.78523E-07	6.57735E-07	1.53331E-06	1.3256E-06	5.21579E-07	1.27148E-07	2.22854E-07
394	2.47213E-07	5.74183E-07	1.32353E-06	3.80741E-07	4.34428E-07	3.41822E-07	1.94977E-06	1.8826E-06	0	4.67881E-07	9.04348E-07	2.18385E-06	2.11252E-06	8.63633E-07	1.33213E-07	1.86949E-07
395	4.91298E-07	9.12757E-07	1.82902E-06	1.14763E-07	2.17785E-07	1.1959E-07	1.83049E-06	2.77656E-06	5.37447E-08	6.15527E-07	1.25443E-06	2.76238E-06	2.79559E-06	1.10184E-06	1.00309E-07	1.24895E-07
396	6.60329E-07	1.12035E-06	2.14698E-06	3.39481E-09	2.53831E-08	1.25494E-08	1.58184E-06	3.51327E-06	2.68125E-07	6.75238E-07	1.68263E-06	3.09282E-06	3.25685E-06	1.13947E-06	3.38577E-08	3.45352E-08
397	6.73378E-07	1.09956E-06	2.18529E-06	1.32106E-07	0	2.8652E-08	1.19544E-06	3.94372E-06	5.65899E-07	6.13237E-07	2.15471E-06	3.03679E-06	3.40014E-06	9.12356E-07	0	0
398	5.53891E-07	8.99549E-07	1.98859E-06	4.32371E-07	0	1.24702E-07	7.46766E-07	4.05762E-06	9.02365E-07	4.61823E-07	2.59027E-06	2.65583E-06	3.25064E-06	5.3015E-07	0	0
399	3.59851E-07	6.17541E-07	1.64627E-06	7.85361E-07	0	2.41229E-07	3.37335E-07	3.89118E-06	1.22093E-06	2.74691E-07	2.89503E-06	2.07692E-06	2.87335E-06	1.58258E-07	0	0
400	1.47218E-07	3.47355E-07	1.24459E-06	1.07641E-06	0	3.20858E-07	6.51008E-08	3.47941E-06	1.46699E-06	1.03654E-07	2.97809E-06	1.42261E-06	2.331E-06	0	0	0
