Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	06:55pm	06:57pm	06:59pm	07:01pm	07:04pm	07:06pm	07:08pm	07:11pm	07:12pm	07:14pm	07:16pm	07:18pm	07:19pm	07:21pm	07:22pm	07:24pm
R5	96.3	82.7	82.7	96.2	77.5	61.3	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9	48.9
R6	81.9	88.2	88.2	45.4	61.9	71.3	80.6	80.6	80.6	80.6	80.6	80.6	80.6	80.6	80.6	80.6
R7	85.5	84.7	84.7	45	39.2	35.2	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9	33.9
R8	89.2	73.5	73.5	27.9	9.7	-1.1	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7
R9	98	38	38	-14.2	-50.6	-71	-83.5	-83.5	-83.5	-83.5	-83.5	-83.5	-83.5	-83.5	-83.5	-83.5
R10	66.1	86.9	86.9	56	75.9	86.3	95.6	95.6	95.6	95.6	95.6	95.6	95.6	95.6	95.6	95.6
R11	82.3	65.9	65.9	86	80.6	59.4	41.4	41.4	41.4	41.4	41.4	41.4	41.4	41.4	41.4	41.4
R12	59	76.7	76.7	-18.7	5.2	18.4	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6
R13	96.8	79.6	79.6	91.1	87.5	74.8	65	65	65	65	65	65	65	65	65	65
R14	83.6	81	81	76.3	73.3	70	68.6	68.6	68.6	68.6	68.6	68.6	68.6	68.6	68.6	68.6
Ra	86.98	79.55	79.55	64.96	56.72	50.2	45.76	45.76	45.76	45.76	45.76	45.76	45.76	45.76	45.76	45.76
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	2.9698E-07	0	1.76783E-06	0	1.45426E-06	5.7769E-07	4.92985E-07	3.40832E-07	7.73149E-07	0	6.77561E-08	1.49534E-06	9.34179E-07	4.39926E-07	1.38087E-06	0
381	3.89253E-07	0	2.36009E-06	0	1.76924E-06	2.45534E-07	1.87933E-07	4.73762E-07	3.47374E-07	0	3.75829E-08	7.30547E-07	1.32186E-06	1.36761E-07	6.3444E-07	0
382	4.39179E-07	1.20247E-10	2.54669E-06	1.80043E-08	1.82984E-06	5.44937E-09	5.89456E-09	5.78916E-07	1.17095E-08	8.90199E-09	1.11524E-08	4.83676E-07	1.45848E-06	2.20395E-08	3.39851E-08	1.76343E-08
383	4.35775E-07	1.26597E-07	2.20029E-06	3.43986E-07	1.56068E-06	0	0	6.41531E-07	0	0	0	9.36282E-07	1.24706E-06	1.00363E-07	0	8.31286E-07
384	3.99161E-07	2.46025E-07	1.52152E-06	7.01768E-07	1.08657E-06	0	6.00136E-08	6.61121E-07	0	0	0	1.80699E-06	8.25512E-07	2.98164E-07	0	1.84082E-06
