Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	07:29pm	07:31pm	07:34pm	07:36pm	07:38pm	07:40pm	07:43pm	07:45pm	07:46pm	07:48pm	07:50pm	07:51pm	07:53pm	07:53pm	07:53pm	07:54pm
Reference Illuminant	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K
CCT [K]	8627	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890
R1	97.3	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4	81.4
R2	88.8	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
R3	71.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6	78.6
R4	82.8	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81
R5	97.2	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8	80.8
R6	81.4	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1	75.1
R7	85	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3	87.3
R8	89.1	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2
R9	96	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4	40.4
R10	67.2	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9	52.9
R11	82.8	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6	76.6
R12	60.1	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8
R13	97	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2	79.2
R14	83.5	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4	88.4
Ra	86.65	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91	80.91
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	1.74927E-06	1.12494E-06	1.30462E-06	0	1.70576E-07	0	0	1.67702E-06	3.6883E-07	1.18956E-06	2.18677E-06	2.15213E-06	1.96082E-07	2.06779E-06	1.54999E-06	2.71672E-06
381	2.12495E-06	1.17578E-06	1.58493E-06	0	8.64533E-08	0	5.19776E-08	9.07438E-07	5.60111E-07	1.39053E-06	2.6877E-06	3.16099E-06	1.86296E-08	2.65539E-06	1.28059E-06	3.67265E-06
