Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	07:57pm	07:59pm	08:02pm	08:04pm	08:06pm	08:08pm	08:10pm	08:11pm	08:13pm	08:15pm	08:15pm	08:15pm	08:16pm	08:16pm	08:16pm	08:16pm
R3	70.2	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5
R4	80.6	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5
R5	96.4	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96
R6	81.6	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4	79.4
R7	83.5	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9	83.9
R8	86.9	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81
R9	92.1	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8	56.8
R10	65.1	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5
R11	79.1	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7
R12	58	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55
R13	97.6	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4	95.4
R14	82.7	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
Ra	85.68	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48	83.48
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	3.8583E-07	6.68665E-07	1.45969E-06	4.5825E-08	4.7666E-07	1.39697E-06	5.08904E-07	0	4.21952E-08	0	4.61901E-06	0	2.66549E-06	1.32114E-06	0	0
381	1.23245E-07	8.35328E-07	1.82478E-06	0	2.40547E-07	1.47827E-06	6.49081E-07	0	5.12915E-07	0	3.62456E-06	0	2.17483E-06	1.94914E-06	0	0
382	2.69233E-09	8.7979E-07	1.89924E-06	0	8.347E-09	1.457E-06	6.61315E-07	1.09199E-08	1.04301E-06	1.43681E-08	2.77865E-06	2.35969E-08	2.06629E-06	2.47625E-06	4.99779E-08	6.68944E-08
