Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	09:11pm	09:13pm	09:15pm	09:17pm	09:19pm	09:20pm	09:20pm	09:21pm	09:21pm	09:21pm	09:22pm	09:22pm	09:23pm	09:23pm	09:23pm	09:23pm
R6	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7	80.7
R7	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8	85.8
R8	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
R9	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3	96.3
R10	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4	64.4
R11	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5
R12	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6	57.6
R13	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8	95.8
R14	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3	83.3
Ra	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9	86.9
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	6.53961E-07	0	4.18188E-07	0	0	0	0	1.10019E-06	4.43099E-06	2.21484E-06	4.9325E-07	8.20539E-07	0	0	1.44733E-06	8.20676E-07
381	9.2087E-07	0	1.8647E-07	0	2.09526E-08	0	0	1.50536E-06	5.93118E-06	1.43613E-06	8.14344E-07	1.02604E-06	0	0	1.64961E-06	5.64508E-07
382	1.19784E-06	3.95299E-09	8.20139E-09	7.8493E-08	1.02885E-07	1.23629E-08	1.13831E-08	1.86044E-06	6.53602E-06	8.02929E-07	9.69468E-07	1.06739E-06	2.44818E-08	3.17074E-08	1.60145E-06	3.69217E-07
383	1.47447E-06	0	0	2.47358E-07	1.50229E-07	0	2.17011E-07	2.13585E-06	5.94574E-06	4.40256E-07	8.68579E-07	9.09928E-07	2.94814E-07	3.36469E-07	1.29151E-06	2.80137E-07
384	1.70754E-06	0	0	4.43687E-07	1.74533E-07	0	4.25124E-07	2.30466E-06	4.5135E-06	3.30882E-07	6.1408E-07	6.44014E-07	6.08346E-07	6.31598E-07	8.42908E-07	2.70462E-07
385	1.84927E-06	0	0	6.16011E-07	1.95891E-07	0	5.91415E-07	2.3424E-06	2.71948E-06	4.25685E-07	3.45943E-07	3.82739E-07	9.13052E-07	8.65881E-07	4.01375E-07	2.9849E-07
386	1.88E-06	0	0	7.26824E-07	2.35483E-07	0	6.84334E-07	2.25532E-06	1.01172E-06	6.88807E-07	1.9349E-07	2.31535E-07	1.17658E-06	1.00555E-06	1.0029E-07	3.30576E-07
387	1.7324E-06	8.15102E-08	1.19951E-08	7.24446E-07	3.08374E-07	1.19122E-07	6.58094E-07	1.98738E-06	0	1.08016E-06	2.70593E-07	2.81012E-07	1.34497E-06	9.95315E-07	5.65353E-08	3.28145E-07
388	1.40577E-06	4.66441E-07	2.30737E-08	5.99562E-07	4.13272E-07	6.54673E-07	5.11075E-07	1.55357E-06	0	1.54603E-06	6.15412E-07	5.53552E-07	1.39687E-06	8.29878E-07	3.14768E-07	2.76748E-07
389	9.76684E-07	9.15618E-07	1.9301E-08	4.06311E-07	5.16338E-07	1.27835E-06	3.08942E-07	1.04084E-06	0	1.99958E-06	1.12151E-06	9.38749E-07	1.35329E-06	5.76529E-07	7.76155E-07	1.97335E-07
390	5.2676E-07	1.32225E-06	1.00321E-08	2.03275E-07	5.81684E-07	1.82878E-06	1.21768E-07	5.402E-07	0	2.35379E-06	1.67168E-06	1.31679E-06	1.23875E-06	3.07446E-07	1.33093E-06	1.13683E-07
