Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	08:33pm	08:36pm	08:37pm	08:39pm	08:40pm	08:42pm	08:42pm	08:42pm	08:43pm	08:43pm	08:43pm	08:44pm	08:44pm	08:44pm	08:44pm	08:44pm
404	0	1.49555E-06	2.43032E-06	2.9387E-06	3.78644E-06	8.51758E-06	4.8324E-06	2.97566E-06	6.86372E-06	1.1364E-05	1.144E-05	1.16196E-05	1.12293E-05	1.35575E-05	8.89172E-06	1.35839E-05
405	0	1.30276E-06	2.81369E-06	3.97444E-06	4.61689E-06	9.3955E-06	4.30033E-06	3.25734E-06	7.73239E-06	1.32313E-05	1.2767E-05	1.50047E-05	1.19114E-05	1.41134E-05	1.12501E-05	1.59347E-05
406	1.75277E-08	1.20626E-06	2.88438E-06	4.96812E-06	5.59383E-06	1.00422E-05	5.00537E-06	4.47551E-06	8.80406E-06	1.47515E-05	1.44271E-05	1.73693E-05	1.27946E-05	1.52293E-05	1.38611E-05	1.87026E-05
407	4.06839E-08	1.25554E-06	2.71883E-06	5.87747E-06	6.70929E-06	1.05001E-05	6.99117E-06	6.66914E-06	1.0118E-05	1.59509E-05	1.6453E-05	1.86952E-05	1.40753E-05	1.70759E-05	1.67107E-05	2.19094E-05
408	5.10614E-08	1.47023E-06	2.5589E-06	6.74784E-06	7.98467E-06	1.09029E-05	9.86593E-06	9.61299E-06	1.18108E-05	1.71083E-05	1.88253E-05	1.95828E-05	1.6027E-05	1.97428E-05	1.98922E-05	2.55557E-05
409	4.19353E-08	1.86858E-06	2.64705E-06	7.62654E-06	9.44185E-06	1.13849E-05	1.32313E-05	1.30776E-05	1.40193E-05	1.85049E-05	2.15231E-05	2.06408E-05	1.89203E-05	2.33151E-05	2.35001E-05	2.96413E-05
410	6.71892E-09	2.46845E-06	3.22072E-06	8.55989E-06	1.11023E-05	1.20776E-05	1.66973E-05	1.68382E-05	1.68779E-05	2.04163E-05	2.45262E-05	2.24651E-05	2.30202E-05	2.78761E-05	2.76273E-05	3.41661E-05
411	0	3.2798E-06	4.46609E-06	9.61482E-06	1.30083E-05	1.31366E-05	1.99882E-05	2.0748E-05	2.05183E-05	2.31234E-05	2.78838E-05	2.56052E-05	2.85626E-05	3.35262E-05	3.24394E-05	3.92198E-05
412	0	4.25762E-06	6.29991E-06	1.09264E-05	1.52554E-05	1.4797E-05	2.33073E-05	2.49567E-05	2.4979E-05	2.68532E-05	3.1883E-05	3.02978E-05	3.55231E-05	4.03101E-05	3.83475E-05	4.51872E-05
413	0	5.34181E-06	8.55531E-06	1.2659E-05	1.79657E-05	1.73294E-05	2.7027E-05	2.97245E-05	3.02841E-05	3.18332E-05	3.69091E-05	3.66986E-05	4.38153E-05	4.82809E-05	4.58645E-05	5.25783E-05
