Name	red	green	blue
Date	09/02/2018	09/02/2018	09/02/2018
Time	06:45pm	06:45pm	06:46pm
554	3.29734E-05	0.001165595	4.07662E-05
555	3.18815E-05	0.000574175	2.95487E-05
556	2.98069E-05	0.000309181	2.21798E-05
557	2.64906E-05	0.000320854	1.79673E-05
558	2.27877E-05	0.000487286	1.58022E-05
559	1.9574E-05	0.000684243	1.45559E-05
560	1.76899E-05	0.000792177	1.31402E-05
561	1.72189E-05	0.000780906	1.12273E-05
562	1.78421E-05	0.000698725	9.21817E-06
563	1.91507E-05	0.000592911	7.47107E-06
564	2.07415E-05	0.000509431	6.33232E-06
565	2.23257E-05	0.000464342	5.87308E-06
566	2.37288E-05	0.000442487	5.87704E-06
567	2.47916E-05	0.000427484	6.11736E-06
568	2.53669E-05	0.000403249	6.36873E-06
569	2.59907E-05	0.000369242	6.50032E-06
570	2.81323E-05	0.000346127	6.50995E-06
571	3.33264E-05	0.000356062	6.40528E-06
572	4.30846E-05	0.000420891	6.19378E-06
573	5.77437E-05	0.000546597	5.96508E-06
574	7.56119E-05	0.000711771	5.94967E-06
575	9.48008E-05	0.000892344	6.39141E-06
576	0.000113316	0.001063214	7.52455E-06
577	0.000130991	0.00120642	9.44741E-06
578	0.000150969	0.001314095	1.19426E-05
579	0.000176801	0.001379779	1.47552E-05
580	0.000212008	0.001397075	1.76324E-05
581	0.000258629	0.001368087	2.04037E-05
582	0.000313113	0.00130377	2.29335E-05
583	0.000371523	0.001219906	2.51304E-05
584	0.000429919	0.001132284	2.69025E-05
585	0.000487404	0.001054171	2.81608E-05
586	0.000552146	0.000993113	2.88596E-05
587	0.000632564	0.000952866	2.88819E-05
588	0.000737663	0.000938634	2.81442E-05
589	0.000871247	0.000951017	2.66816E-05
590	0.00102164	0.000976932	2.48816E-05
591	0.001177322	0.001003323	2.3259E-05
592	0.00132131	0.001011868	2.22045E-05
593	0.001443782	0.000991563	2.19569E-05
594	0.001550305	0.000946695	2.2067E-05
595	0.001649465	0.000884527	2.19482E-05
596	0.00174709	0.000811107	2.09696E-05
597	0.001842065	0.000734043	1.88464E-05
598	0.001893966	0.000655101	1.60752E-05
599	0.001855248	0.000575273	1.33075E-05
600	0.001678008	0.000495562	1.12014E-05
601	0.001387976	0.000419308	1.0343E-05
602	0.001231969	0.000361739	1.12337E-05
603	0.001487643	0.000338154	1.43158E-05
604	0.002432107	0.000363817	2.00313E-05
605	0.004205097	0.000445543	2.86021E-05
606	0.006614027	0.000569729	3.97231E-05
607	0.00941581	0.000719616	5.30027E-05
608	0.012367672	0.000878497	6.80494E-05
609	0.015228639	0.001030441	8.40373E-05
610	0.017761483	0.001161124	9.9242E-05
611	0.01969423	0.001254181	0.000111628
612	0.020822064	0.001297616	0.000119541
613	0.020978461	0.001281188	0.000121918
614	0.020106188	0.001200647	0.000118945
615	0.018158871	0.001052347	0.000110924
