wavelength [nm],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)]
622,0.001126261,5.76E-06,3.84E-05
623,0.001701684,6.27E-05,3.68E-05
624,0.002202407,9.77E-05,3.62E-05
625,0.002502649,0.000103263,3.56E-05
626,0.00266516,9.15E-05,3.50E-05
627,0.002750116,7.47E-05,3.42E-05
628,0.002813987,6.41E-05,3.31E-05
629,0.002860455,6.11E-05,3.15E-05
630,0.002866318,6.16E-05,2.95E-05
631,0.002812567,6.21E-05,2.72E-05
632,0.002674538,5.93E-05,2.44E-05
633,0.002449317,5.34E-05,2.15E-05
634,0.002139766,4.59E-05,1.84E-05
635,0.001748761,3.80E-05,1.56E-05
636,0.001296837,3.11E-05,1.31E-05
637,0.000844304,2.53E-05,1.10E-05
638,0.000466485,2.05E-05,9.26E-06
639,0.00023904,1.67E-05,7.84E-06
640,0.000190706,1.40E-05,6.75E-06
641,0.000259346,1.21E-05,5.93E-06
642,0.000372097,1.10E-05,5.34E-06
643,0.000457004,1.03E-05,4.93E-06
644,0.000487725,1.01E-05,4.72E-06
645,0.000489483,1.03E-05,4.80E-06
646,0.000490377,1.12E-05,5.27E-06
647,0.000516616,1.26E-05,6.23E-06
648,0.000568829,1.43E-05,7.48E-06
649,0.000631297,1.58E-05,8.69E-06
650,0.00068792,1.65E-05,9.51E-06
651,0.000724394,1.61E-05,9.66E-06
652,0.00073578,1.48E-05,9.27E-06
653,0.000720427,1.29E-05,8.60E-06
654,0.000676682,1.10E-05,7.94E-06
655,0.000607954,9.33E-06,7.44E-06
656,0.000529451,7.95E-06,7.05E-06
657,0.000461441,6.87E-06,6.68E-06
658,0.000422162,6.10E-06,6.23E-06
659,0.000415715,5.61E-06,5.73E-06
660,0.000428488,5.38E-06,5.33E-06
661,0.000445184,5.35E-06,5.18E-06
662,0.000452509,5.51E-06,5.43E-06
663,0.000445721,5.82E-06,5.89E-06
664,0.000425542,6.26E-06,6.20E-06
665,0.000392764,6.80E-06,5.99E-06
666,0.000349638,7.43E-06,5.04E-06
667,0.000300994,7.97E-06,3.70E-06
668,0.000253336,8.28E-06,2.49E-06
669,0.000213131,8.20E-06,1.92E-06
670,0.000183777,7.68E-06,2.17E-06
671,0.000163125,6.90E-06,2.83E-06
672,0.000149019,6.09E-06,3.45E-06
673,0.00013906,5.45E-06,3.59E-06
674,0.000131637,5.01E-06,3.26E-06
675,0.000125719,4.68E-06,2.76E-06
676,0.000120151,4.35E-06,2.38E-06
677,0.00011469,4.01E-06,2.36E-06
678,0.000111702,3.92E-06,2.61E-06
679,0.000114316,4.40E-06,2.94E-06
680,0.000125603,5.79E-06,3.18E-06
681,0.000147418,8.11E-06,3.29E-06
682,0.000177806,1.08E-05,3.42E-06
683,0.000214975,1.32E-05,3.75E-06
684,0.000257118,1.49E-05,4.42E-06
685,0.000302399,1.59E-05,5.30E-06
686,0.000349488,1.68E-05,6.05E-06
687,0.000396123,1.79E-05,6.32E-06
688,0.000439231,1.97E-05,5.93E-06
689,0.00047175,2.18E-05,5.26E-06
690,0.000485723,2.34E-05,4.79E-06
691,0.000473701,2.40E-05,4.99E-06
692,0.000436936,2.36E-05,5.82E-06
693,0.000387391,2.24E-05,6.58E-06
694,0.000337734,2.09E-05,6.56E-06
695,0.000298834,1.94E-05,5.22E-06
696,0.000270269,1.82E-05,3.06E-06
697,0.000246995,1.71E-05,9.71E-07
698,0.000224236,1.63E-05,0
699,0.000207599,1.65E-05,1.70E-07
700,0.000220493,1.97E-05,1.56E-06
701,0.00028902,2.79E-05,3.60E-06
702,0.000435386,4.29E-05,5.88E-06
703,0.000649112,6.39E-05,8.27E-06
704,0.000901734,8.84E-05,1.08E-05
705,0.001163912,0.000113896,1.33E-05
706,0.001405621,0.000137843,1.58E-05
707,0.001603204,0.00015831,1.81E-05
708,0.001731925,0.000173258,1.96E-05
709,0.001768783,0.000180734,2.03E-05
710,0.001716102,0.000180186,2.01E-05
711,0.001591035,0.000171786,1.92E-05
712,0.001415183,0.000156131,1.79E-05
713,0.001207011,0.000134289,1.62E-05
714,0.000981296,0.000109004,1.42E-05
715,0.000752444,8.33E-05,1.17E-05
716,0.000535561,6.03E-05,8.70E-06
717,0.000344104,4.11E-05,5.44E-06
718,0.000192364,2.62E-05,2.55E-06
719,9.49E-05,1.59E-05,6.96E-07
720,5.65E-05,9.97E-06,1.65E-07
721,5.73E-05,7.49E-06,4.41E-07
722,7.36E-05,7.21E-06,8.70E-07
723,8.27E-05,7.91E-06,8.48E-07
724,8.01E-05,8.86E-06,4.65E-07
725,7.17E-05,9.61E-06,2.30E-07
726,6.39E-05,9.71E-06,6.60E-07
727,6.03E-05,8.94E-06,1.92E-06
728,5.90E-05,7.62E-06,3.46E-06
729,5.72E-05,6.11E-06,4.63E-06
730,5.26E-05,4.78E-06,4.85E-06
731,4.62E-05,3.75E-06,4.22E-06
732,4.07E-05,3.11E-06,3.14E-06
733,3.87E-05,2.91E-06,2.01E-06
734,4.08E-05,3.13E-06,1.11E-06
735,4.50E-05,3.58E-06,4.50E-07
736,4.89E-05,4.11E-06,6.22E-08
737,5.07E-05,4.59E-06,0
738,5.09E-05,5.25E-06,2.45E-07
739,5.09E-05,6.40E-06,9.66E-07
740,5.19E-05,8.35E-06,2.20E-06
741,5.40E-05,1.08E-05,3.71E-06
742,5.64E-05,1.30E-05,4.99E-06
743,5.79E-05,1.41E-05,5.49E-06
744,5.79E-05,1.36E-05,4.94E-06
745,5.67E-05,1.23E-05,3.71E-06
746,5.48E-05,1.12E-05,2.32E-06
747,5.26E-05,1.13E-05,1.24E-06
748,4.98E-05,1.22E-05,5.53E-07
749,4.62E-05,1.30E-05,1.73E-07
